,quote,class,good_or_bad
43,حذر دعء ولد دعه نمء جبر ئصل بور,اﻻحترامُ والتوقيرﱡ,0
44,برا بلد نظر تضع فرص شعر فقد احد جعل شعر ندم,اﻻحترامُ والتوقيرﱡ,0
45,طعة ولد سبب طلة عمر وسع رزق,اﻻحترامُ والتوقيرﱡ,0
46,عيش ماض أكرم ديك لأم ولى إكرام إحس حسب حمل رضع تدم امر فضل نلا انس,اﻻحترامُ والتوقيرﱡ,0
47,قلب لأم عمق تجد غفر دائ قاع,اﻻحترامُ والتوقيرﱡ,0
48,اتت ا ياس بن عاي بكى عليها فقل فقل باب فتح جنة أغلق احد,اﻻحترامُ والتوقيرﱡ,0
49,عصة ؤخر عقب شيئ الل يوم قيم عقق فإن عجل دنا وكم تدن تدن,اﻻحترامُ والتوقيرﱡ,0
50,ببر ولد وبر ذوي قربى وبر بعد اسى تفت كبد اسى ولد ولد,اﻻحترامُ والتوقيرﱡ,0
51,الل على قس حقق جعل رتب أعظم حقق لحق عظم حق عبد الل على إفراد وحد لحق ثن سبح ذكر نبي بيء ذكر معه لحق قمه كفر الل سيئ رفع درج احس ولد,اﻻحترامُ والتوقيرﱡ,0
52,اط الإ امر ملأ فؤد حذر وأط ابك فإ رب اك عهد الص غر,اﻻحترامُ والتوقيرﱡ,0
53,نبغ ابن ضجر منه كلم يجب خضع أمر خفض جنح ومعاملته لطف وقر عدم رفع عله,اﻻحترامُ والتوقيرﱡ,0
54,عظم حق ولد قرن الل حقه بحق كتب كرم,اﻻحترامُ والتوقيرﱡ,0
55,حق ولد وته صلة عله غفر إنفاذ عهد وصل رحم وصل إكرام صدق,اﻻحترامُ والتوقيرﱡ,0
56,قال كرم عتق حق لأم,اﻻحترامُ والتوقيرﱡ,0
57,قال ابن جوز قصد زر ديك,اﻻحترامُ والتوقيرﱡ,0
58,قول حكم بر ولد,البِرُ,0
59,حكم بر ولد,البِرُ,0
60,قدم جنت عذر قص رت يوم,البِرُ,0
61,سهل طرق إرضاء ربك رضء ديك,البِرُ,0
62,سقط رجل رفع صوت تعب ربت,البِرُ,0
63,بر ولد شعر رفع طبق عمل,البِرُ,0
64,بر ولد احب عمل الل,البِرُ,0
65,ظهر ودد للد حول دخل سرر اله بكل يحب منك,البِرُ,0
66,ولل الن كلم أطعم طعم دخل جنة جنب كبر,البِرُ,0
67,قلب لأم عمق تجد غفر دائ قاع,البِرُ,0
68,نبغ رفع يدك ديك,البِرُ,0
69,بر ولد بذل لكت تطع مرك يكن عصة,البِرُ,0
70,اتت ا ياس بن عاي بكى عليها فقل فقل باب فتح جنة أغلق احد,البِرُ,0
71,عيش ماض أكر وال ديك لأم ولى ا كرم وإ حسن حسب حمل ولإ رضع تدم نه امر فضل نلا ا نسن,البِرُ,0
72,كسب طعة ابن بطع ديك غلق باب فتح ببر ديك,البِرُ,0
73,ؤمن ابو صبح يمس حسن اله فتح الل باب جنة,البِرُ,0
74,الل عجل هلك عبد عقا للد الل يزد عمر عبد برا يزد برا وخر,البِرُ,0
75,ولد زهر تفح لبر ذبل عقق إختر للد,البِرُ,0
76,رجل اهل يمن حمل امه عنق جعل يطف حول بيت يقل اني بعر دلل ذعر ركب ذعر حمل قال لبن عمر اتر جزت فقل ابن عمر رضي الل عنه زفر وحد زفر ولد,البِرُ,0
77,لأم درس ا عدد عدد شعب طي عرق لأم روض ا تعه ده حيا الر ورق ا يرق لأم ساذ است ذة شغل ماث رهم مدى افق,البِرُ,0
78,علي بن ابي طلب رضي الل عنه يقل حذر دعء ولد دعه نمء جبر ئصل بور,البِرُ,0
79,حق ولد وته صلة عله غفر إنفاذ عهد وصل رحم وصل إكرام صدق,البِرُ,0
80,ألو ايه جمل امك قمر قلت رأت قمر ذكر امي رأت امي نست قمر,البِرُ,0
81,ديك احس ضعف ورب بلغ اشد قلب ظهر مجن حجت أحس احس,البِرُ,0
82,ابن ولد باب خير فتح غنم فرص غلق علم انك فعل واع ال بر بلد فلن ترد شيئ جمل,البِرُ,0
83,عظم حق ولد قرن الل حقه بحق كتب كرم على لسن رسل صلى الل سلم فلل نعم خلق يجد ولد الل نعم ربي يلد,البِرُ,0
84,بني تبر كهل متى يكون برك بني ذكر ولد يكو كمثل وكم تدن تدن,البِرُ,0
85,قال فقد عق ديه فكف قال عظم وكف قطع اسء اله,البِرُ,0
86,جعل ديك امر دلل غرك إجعل لوك برك,البِرُ,0
87,زهر قال حسن بن علي أكل امه وكان ابر ناس فقل فقل اخف اكل عها سبق عين شيء طعم وأن ادر آكل فأك عقق,البِرُ,0
88,عطو حقك ضعف تنس حقه ضعف,البِرُ,0
89,بر لأم لأب طرق دخل جنة ترد يبر بنئ فبر ديك,البِرُ,0
90,عصة ؤخر عقب شيئ الل يوم قيم عقق فإن عجل دنا وكم تدن تدن,البِرُ,0
91,حمد بن سير قال مشى يدي ابه فقد عقه يمش يمط اذى طرق دعا ابه بسم فقد عقه يقل ابت,البِرُ,0
92,نبغ ابن ضجر منه كلم يجب خضع أمر خفض جنح عمل لطف وقر عدم رفع عله,البِرُ,0
93,ببر ولد وبر ذوي قربى وبر بعد اسى تفت كبد اسى ولد ولد,البِرُ,0
94,خضع لأم ورض عقق ا حدى الك بر,البِرُ,0
95,اط الإ امر إملأ فؤد حذر وأط ابك فإ رب اك عهد الص غر,البِرُ,0
96,الل على قس حقق جعل رتب أعظم حقق لحق عظم حق عبد الل على إفراد وحد لحق ثن سبح ذكر نبي بيء ذكر معه لحق قمه كفر الل سيئ رفع درج احس ولد,البِرُ,0
97,حكم بر ولد قصر,البِرُ,0
98,قول بر ولد,البِرُ,0
99,سهل طرق إرضاء ربك ارض ديك,البِرُ,0
100,كسب طعة ابن بطع ديك,البِرُ,0
101,غلق باب فتح ببر ديك,البِرُ,0
102,قدم جنت عذر قص رت يوم,البِرُ,0
103,عطو حقك ضعف تنس حقه ضعف,البِرُ,0
104,بر لأم لأب طرق دخل جنة ارد يبر بنؤ فبر ديك,البِرُ,0
105,ظهر ودد للد حول دخل سرر اله بكل يحب منك,البِرُ,0
106,ولد احق ناس عمل حسن,البِرُ,0
107,رضا الل بر ولد,البِرُ,0
108,سقط رجل رفع صوت تعب ربت,البِرُ,0
109,بر ولد شعر رفع طبق عمل,البِرُ,0
110,جعل داك امر دلل صغر جعل لوك كبر,البِرُ,0
111,ديك احس ضعف ورب حت بلغ اشد قلب ظهر حجت أحس احس,البِرُ,0
112,لأب لأم اهم هدة نعم الل يجب حفظ نرع نحم نرد الل ردا جمل,البِرُ,0
113,جمل شعر يمكن شعر سعد ديك حول دوم دخل بهج سرر قلب,البِرُ,0
114,ارد يحب الل فقم بجب اهل واه ورع أحس اله,البِرُ,0
115,فعل ديك فعل معك بنء فما طرق تحب عمل ولد كبر,البِرُ,0
116,بر ولد بذل لكت تطع مرك يكن عصة,البِرُ,0
117,حق ولد عظم وبر ولد لزم,البِرُ,0
118,وق ابه طال عمر وق امه يسر نظر ديه عقه,البِرُ,0
119,عنت لأم حمل ثقل كثر ولق وقت وضع زعج ثير بلغ ربت سهر درا أعرض شها قدم نفس حال وقد ضم لأب سبب يجد حبت وجد شفق ترب كسب فاق عقل عرف حق حسن جهد كفأ جهل انس حقق نعم اخس صفت سيم اضف جحد لحق قبل بسء قلب علم بار ولد بلغ بره يف شكر,البِرُ,0
120,حذر دعء ولد دعه نمء جبر ئصل بور,البِرُ,0
121,برا بلد نظر تضع فرص شعر فقد احد جعل شعر ندم,البِرُ,0
122,طعة ولد سبب طلة عمر وسع رزق,البِرُ,0
123,عيش ماض أكرم ديك لأم ولى إكرام إحس حسب حمل رضع تدم امر فضل نلا انس,البِرُ,0
124,قلب لأم عمق تجد غفر دائ قاع,البِرُ,0
125,اتت ا ياس بن عاي بكى عليها فقل فقل باب فتح جنة أغلق احد,البِرُ,0
126,عصة ؤخر عقب شيئ الل يوم قيم عقق فإن عجل دنا وكم تدن تدن,البِرُ,0
127,ببر ولد وبر ذوي قربى وبر بعد اسى تفت كبد اسى ولد ولد,البِرُ,0
128,الل على قس حقق جعل رتب أعظم حقق لحق عظم حق عبد الل على إفراد وحد لحق ثن سبح ذكر نبي بيء ذكر معه لحق قمه كفر الل سيئ رفع درج احس ولد,البِرُ,0
129,اط الإ امر ملأ فؤد حذر وأط ابك فإ رب اك عهد الص غر,البِرُ,0
130,نبغ ابن ضجر منه كلم يجب خضع أمر خفض جنح ومعاملته لطف وقر عدم رفع عله,البِرُ,0
131,عظم حق ولد قرن الل حقه بحق كتب كرم,البِرُ,0
132,حق ولد وته صلة عله غفر إنفاذ عهد وصل رحم وصل إكرام صدق,البِرُ,0
133,قال كرم عتق حق لأم,البِرُ,0
134,قال ابن جوز قصد زر ديك,البِرُ,0
135,عبر يثر,اﻹيثارُ,0
136,حدث شرف يثر,اﻹيثارُ,0
137,اسس عمل خلق زكي يثر رجح فضل عدل رفع صغر,اﻹيثارُ,0
138,يثر صفت حمد جمل خلق قوم حثت عليها شرع,اﻹيثارُ,0
139,عبر يثر طرق وصل حبة الل على صفت تشع جوا الف حبة ناس,اﻹيثارُ,0
140,لأب لأم فضل بنء نفس بهذ صور جلى فضل صور يثر,اﻹيثارُ,0
141,يثر على رتب كرم جود يأت عمق نفس فرض وجب قون,اﻹيثارُ,0
142,خلى عنه تتر خبئ حفظ ذهب لغر,اﻹيثارُ,0
143,يثر تعط اشد منك حجة اله يثر تعط اشد اله حجة مني,اﻹيثارُ,0
144,لـ يثر ـل ـن فات قيء رون لغـ فض انـ اه عطء,اﻹيثارُ,0
145,يثر ـن ـب ـت كـ ـل لثـ ناء ـم خلق تـ كـ سو اهل ثـ وب الب,اﻹيثارُ,0
146,اك جئع ال ايث ار اك غني ال ادب اك ضيف ال بلن همة بسط,اﻹيثارُ,0
147,ايث ار يقد حظظ اخو حظظ امر الد اخر,اﻹيثارُ,0
148,يثر حقق كفء ادي قصد أكبر عدد شخص جمع,اﻹيثارُ,0
149,ؤثر لحظ ثمر خلق رفع عين لأن يعش لذة عطء لحظ,اﻹيثارُ,0
150,الد جعل فم اخ اخا لاستقللت,اﻹيثارُ,0
151,حول علم كرم يثر لأن ولد نني,اﻹيثارُ,0
152,نني كرح صحراء جفف شيء,اﻹيثارُ,0
153,عتب كثر حدث نفس يجد حدث وضع اخر,اﻹيثارُ,0
154,انا كره يثر فضل,اﻹيثارُ,0
155,حب ذات كرة نفخ هوء خرج عصف ثقب,اﻹيثارُ,0
156,انا خدم دقق حيت تأم سعد نني,اﻹيثارُ,0
157,حب ذات حيو غرب تطع نوم قسى ضرب يقظ وقد جرح موت خدش بسط,اﻹيثارُ,0
158,نني سرب ضعفاء,اﻹيثارُ,0
159,استعدادا انا سهل نني تثر كان نفس,اﻹيثارُ,0
160,حب ذات جان عذر حب ذات ذوي عقل,اﻹيثارُ,0
161,قول حكماء صمت,اﻹنصاتُ,0
162,حكم رئع صمت,اﻹنصاتُ,0
163,صمت فضل كلم بلا عنى,اﻹنصاتُ,0
164,كثر كلم قل حرم,اﻹنصاتُ,0
165,حاج انس سنت علم كلم خمس سنة علم صمت,اﻹنصاتُ,0
166,كلم وقف حاج صمت,اﻹنصاتُ,0
167,صمت فصح كلم,اﻹنصاتُ,0
168,صغء تأت حكم كلم تأت ندم,اﻹنصاتُ,0
169,علم صمت ثني حسن ماع ثلث حفظ ربع عمل خمس نشر,اﻹنصاتُ,0
170,لفم طبق دخل ذبب,اﻹنصاتُ,0
171,كلم فضة سكو,اﻹنصاتُ,0
172,ندم سكت خير ندم قول,اﻹنصاتُ,0
173,سلم انس حفظ لسن,اﻹنصاتُ,0
174,تعظ نمل نبس كلم,اﻹنصاتُ,0
175,ارد احد كلم فعل فكر كلم نطق,اﻹنصاتُ,0
176,تم عقل نقص كلم,اﻹنصاتُ,0
177,كثر صمت تكون هيب,اﻹنصاتُ,0
178,كلم دوء قلل نفع كثر قتل,اﻹنصاتُ,0
179,فخر ناس بحس كلم فخر بحس صمت,اﻹنصاتُ,0
180,لزم صمت ا ارد نجة ضحضاح نطق غمر,اﻹنصاتُ,0
181,يخض انس كلم وجز للص احي وجز,اﻹنصاتُ,0
182,حسب صمت طول فتى حلم يوق خلف,اﻹنصاتُ,0
183,الم ترأ صمت حلم حكم قلل ريب حدث فعل,اﻹنصاتُ,0
184,صمت خير كلم أثم فكن صمت سلم وإ قلت عدل,اﻹنصاتُ,0
185,طرق كأن دنا بلا نظر وصم كأن خلق بغر فم,اﻹنصاتُ,0
186,عجب لإ دلل عيي نفس وصم بلق اعل,اﻹنصاتُ,0
187,است الع سطع بصم ا صمت رحة للص موت,اﻹنصاتُ,0
188,صمت امن زلل كثر كلم وجل,اﻹنصاتُ,0
189,قال سكت وقد خوصم قلت ا جوب لبب لشر فتح,اﻹنصاتُ,0
190,سكت تجر لزم ا اجد ربح خسر,اﻹنصاتُ,0
191,ا سكت الإ نسن خصم وإ ضجع حدث جنب,اﻹنصاتُ,0
192,ا نطق نطق فضة لصم در زان يقت,اﻹنصاتُ,0
193,ا قلل كلم أهل وإ كثر مقت,اﻹنصاتُ,0
194,صبة ظلم شرر صمت خير,اﻹنصاتُ,0
195,ندم سكت مرة لكن ندم كلم ررا,اﻹنصاتُ,0
196,صمت صدق ولم كلم قطع قلب صغء صوت قلب لأن صدق حاج لفظ عبر,اﻹنصاتُ,0
197,يرى بعض سمح كسر وأن صمت هزم لكن عرف سمح حاج قوة كبر نقم وأن صمت اقى كلم,اﻹنصاتُ,0
198,كثر كلم لغو تدل ضعف عقل,اﻹنصاتُ,0
199,سكت علم رضا,اﻹنصاتُ,0
200,عقل عق لسن,اﻹنصاتُ,0
201,كثر صمت تكون هيب,اﻹنصاتُ,0
202,فخر ناس بحس كلم فحر بحس صمت,اﻹنصاتُ,0
203,صمت صدق وحد يخن,اﻹنصاتُ,0
204,حكم منة,اﻷمانةُ,0
205,كلم منة,اﻷمانةُ,0
206,ضيع منة ورض خين فقد برأ دين,اﻷمانةُ,0
207,يؤد لبر فجر منة عهد وصل الر حم,اﻷمانةُ,0
208,جدر عمل تؤخ عقب يعج عقب منة تخن ولر حم قطع احس يكف,اﻷمانةُ,0
209,يرخ الل عسر وسر يمس منة,اﻷمانةُ,0
210,يكن رأس مال تخذ منة رأس اله,اﻷمانةُ,0
211,ادء منة فتح رزق,اﻷمانةُ,0
212,حية منة عهد يحق يوم سرد منك حتج لأن حقق لكك,اﻷمانةُ,0
213,كون كله جدل قون ضبط صرح غش خدع رفع صوت يقل رأك لغش خدع حرب ظلم قتل بعض بعض بغا عدو نظم وسف اقل شيء اخر حدث بين دول بني ادم حدث لأن الل خلف ارض أقم لوك حكم أعط حرة عرض علي منة قبل وكان عنى عطئ حرة صبح مكن خطأ صوب وكان نرى حول دنا بشر نتج حرة اسأ عمل,اﻷمانةُ,0
214,حكم تقل فعل رجل رجل خير قول رجل رجل ومع فعل اقى أثر كلم فلو رجل فعل وقف خلق يدل منة ثلا سيك اقى بشد الف ناس حضر يلق انس منة,اﻷمانةُ,0
215,منة فصل كتب حكم,اﻷمانةُ,0
216,شرف امي لأن ناس سحق شرف منة لأن سحق ضعة خين,اﻷمانةُ,0
217,كنت قائ حمل منة فأن ؤمن منت دير كنت وزر رئس ذكر ترع حرر عبد نفذ سلط تذل دنا اخر,اﻷمانةُ,0
218,أوصياء امة كلء عنه كلء منء يجب علي نؤد لأم منة اخذ,اﻷمانةُ,0
219,عرض منة نصب حمل ذكر انه كلف سأل عنه يوم دين عقد وهل انه شرف يهب حرم سبب خلق ذكر هيب حشر نسى تره عقد,اﻷمانةُ,0
220,ضيع منة نظر سعة قال عرب ضعت قال صلى الل سلم وسد امر اهل نظر سعة,اﻷمانةُ,0
221,ودع سرك منة,اﻷمانةُ,0
222,اني شيء صعب تكو ثور منة نفس رغب حرر تبع قطع,اﻷمانةُ,0
223,شرك فكر خلق وعا جمع كلم منة أنظر شرك,اﻷمانةُ,0
224,بغر منة شر جهل ذكء صحب صدق لهج نكب عقل,اﻷمانةُ,0
225,فضل منة وفء عهد,اﻷمانةُ,0
226,اكس الك تقى أحمق الح فجر أصدق الص منة أكذب لكذ خين,اﻷمانةُ,0
227,سبق شعر برض كبر حقق نجح خلل عمل بأم لزم صرم بدأ انك ربح يجب ربح عمل عهم,اﻷمانةُ,0
228,امن يغر فكر نسب حقق خدع يغر حقق لءم فكر,اﻷمانةُ,0
229,رعى منة اخن منت خؤن طرق نكب,اﻷمانةُ,0
230,يخن ادى منة فلم ترع يوم بقل فعل,اﻷمانةُ,0
231,حم انس منة اشق حمل حمل,اﻷمانةُ,0
232,ؤمن منة فرع كرم منة راع,اﻷمانةُ,0
233,قرن شيء شيء فضل خلص تقى حلم صدق عمل فهي زين خلق منب فضل,اﻷمانةُ,0
234,يجء اليوم كلم كلم شرف نعد وعد صدق تقم حيت وصي لحق,اﻷمانةُ,0
235,صدق كذب لسن صدق كذب قلب,اﻷمانةُ,0
236,كذب لسن يقل يقل وأن يقل فعل كذب قلب عقد فعل,اﻷمانةُ,0
237,حضر انس ارخ ومستقبله رهن كلم صدق صحف صدق شعر صدق لحق نعش وليس خبز وحد,اﻷمانةُ,0
238,قال صبة دين كنا نسر ورء شعب وضق زعم عمرو بن عثم قسم مول ناس وحن صدق صرف بحث مول وجئ سعى عمرو بن عثم وقد صدق كذب,اﻷمانةُ,0
239,امر صدق وحق شيء سحق بكء انس خطئ شيء,اﻷمانةُ,0
240,زرع صدق رصن حصد ثقة منة,اﻷمانةُ,0
241,صدق عز بطل ذل,اﻷمانةُ,0
242,صدق صدق فعل صدق قول,اﻷمانةُ,0
243,صدق ربع قلب وزك خلق ثمر روء شعع ضمر,اﻷمانةُ,0
244,علم صدق اخر حول علم طرق فرد كذب,اﻷمانةُ,0
245,كنت صدق لمذ حلف,اﻷمانةُ,0
246,صدق عمد دين ورك ادب أصل روء,اﻷمانةُ,0
247,صدق قتل,اﻷمانةُ,0
248,نضر وجه صدق,اﻷمانةُ,0
249,طلب صدق اخر علي علم طفل صدق,اﻷمانةُ,0
250,نجة صدق,اﻷمانةُ,0
251,صدق فضل شيء فعل شيء صدق فخر,اﻷمانةُ,0
252,حلف صدق كذب ابت فعد حلف بلل,اﻷمانةُ,0
253,صدق مقي ادب لزم علم فهم طلب,اﻷمانةُ,0
254,كحبيب عدل خلق صدق فعل رجى وليس وعد,اﻷمانةُ,0
255,لقد ابح غشا عمل كنت بغر صدق نفع,اﻷمانةُ,0
256,حكم منة,اﻷمانةُ,0
257,كلم منة,اﻷمانةُ,0
258,ضيع منة ورض خين فقد برأ دين,اﻷمانةُ,0
259,يؤد لبر فجر منة عهد وصل رحم,اﻷمانةُ,0
260,عجب رجل طنط ادى منة وكف عرض ناس فهو رجل,اﻷمانةُ,0
261,صدق صدق منة أكذب كذب خين,اﻷمانةُ,0
262,حمل خؤن منة فإن سند شر سند,اﻷمانةُ,0
263,جدر عمل ؤخر عقب عجل عقب منة تخن رحم قطع احس يكف,اﻷمانةُ,0
264,رعى منة اخن منت خؤن طرق نكب,اﻷمانةُ,0
265,يخن ادى منة فلم ترع يوم بقل فعل أحس شئت ارض سيئ فإن جزى حذك نعل نعل,اﻷمانةُ,0
266,رعى منة اخن منت خؤن طرق نكب,اﻷمانةُ,0
267,حية منة عهد يحق يوم سرد منك حتج لأن حقق لكك,اﻷمانةُ,0
268,ومذ تكون عفة منة صدق وفء لبر احس وغر فيم قطع صحراء رأس جبل زعم صدق فضل انس حول ال حجر,اﻷمانةُ,0
269,حكم تقل فعل رجل رجل خير قول رجل رجل ومع فعل اقى أثر كلم فلو رجل فعل وقف خلق يدل منة سيك اقى بشد الف ناس حضر يلق انس منة,اﻷمانةُ,0
270,منة فصل كتب حكم,اﻷمانةُ,0
271,شرف امن لأن ناس سحق شرف منة لأن سحق ضعة خين,اﻷمانةُ,0
272,كنت قئم حمل منة فأن ؤمن منت دير كنت وزر رئس ذكر ترع حرر عبد نفذ سلط تذل دنا اخر,اﻷمانةُ,0
273,أوصياء امة كلء عنه كلء منء يجب علي نؤد لأم منة اخذ,اﻷمانةُ,0
274,عرض منة نصب حمل ذكر انه كلف سأل عنه يوم دين عقد وهل انه شرف يهب حرم سبب خلق ذكر هيب حشر نسى تره عقد,اﻷمانةُ,0
275,ضيع منة نظر سعة قال عرب ضعت قال صلى الل سلم وسد امر اهل نظر سعة,اﻷمانةُ,0
276,ودع سرك منة,اﻷمانةُ,0
277,شيء صعب تكو ثور منة نفس رغب حرر تبع قطع,اﻷمانةُ,0
278,شرك فكر خلق وعي جمع كلم منة أنظر شرك,اﻷمانةُ,0
279,عجب رجل طنط ادى منة ئمن سلم ناس يده ولس,اﻷمانةُ,0
280,حية منة عهد يحق يوم سرد منك حتج لأن حقق لكك,اﻷمانةُ,0
281,بغر منة شر جهل ذكء صحب صدق لهج نكب عقل,اﻷمانةُ,0
282,خلص منة عدت افق عنى لهذ كلم لأن عقل سمم,اﻷمانةُ,0
283,منة طرق رئس حقق نجح,اﻷمانةُ,0
284,شيء ملل علم عري وثا شيء ملل منة,اﻷمانةُ,0
285,اكس كيس تقى أحمق حمق فجر أصدق صدق منة أكذب كذب خين,اﻷمانةُ,0
286,سبق شعر برض كبر حقق نجح خلل عمل بأم لزم صرم بدأ انك ربح يجب ربح عمل عهم,اﻷمانةُ,0
287,ديمقراطيات عظم تزل تمل عقد بأن غبي ميل منة اهر,اﻷمانةُ,0
288,امن يغر فكر نسب حقق خدع يغر حقق لئم فكر,اﻷمانةُ,0
289,ضيع منة ورض خين فقد برأ دين,اﻷمانةُ,0
290,يؤد لبر فجر منة عهد وصل رحم,اﻷمانةُ,0
291,حمل خؤن منة فإن سند شر سند,اﻷمانةُ,0
292,جدر عمل ؤخر عقب عجل عقب منة تخن رحم قطع احس يكف,اﻷمانةُ,0
293,حية منة عهد يحق يوم سرد منك حتج لأن حقق لكك,اﻷمانةُ,0
294,صدق صدق منة أكذب كذب خين,اﻷمانةُ,0
295,رخص الل عسر وسر يمس منة,اﻷمانةُ,0
296,يكن رأس مال تخذ منة رأس اله,اﻷمانةُ,0
297,منة رعي خين تست سر فكن لسر حفظ امن ناس عجب بلذ صان بجل شخص يفش سر يلن ادى منة رجي ربن ثبم خان منة حصد هلك خرب فا الل محن عبد خئن حسب امن دوم فضل صحب,اﻷمانةُ,0
298,حمل انس منة اشق حمل حمل حمل منة صطبر عليها فقد حمل امر ثقل قبل رضت نمم وقل للذ أيك حمل مهل,اﻷمانةُ,0
299,رعى منة اخن منت خؤن طرق,اﻷمانةُ,0
300,ادء منة فتح رزق,اﻷمانةُ,0
301,حية منة عهد يحق يوم سرد منك حتج لأن,اﻷمانةُ,0
302,قول حبة ناس,اﻷُلفةُ,0
303,عبر حب ناس,اﻷُلفةُ,0
304,خير اخو غني عنه يزد ودة حجت اله نقص,اﻷُلفةُ,0
305,يبع انس شيئ شره يبع قلب هوه,اﻷُلفةُ,0
306,زدد حب ضعف خوف سءة نحب,اﻷُلفةُ,0
307,لحب كثر عذب كثر رار,اﻷُلفةُ,0
308,حاج قرب ودة حاج ودة قرب,اﻷُلفةُ,0
309,ار عيب ناس شيئ كنقص قدر تمم اهم اسس ودة حبة ناس,اﻷُلفةُ,0
310,لحب دفء قلب نغم عزف محب ون وار فرح شمع وجد لسل قيد ومع حاج كبر صغر لحب ولد خرق عين برق خطف,اﻷُلفةُ,0
311,علم الل ودة حبة ناس,اﻷُلفةُ,0
