quote,class,good_or_bad
يا من تحت قدميك جنتي: أعذريني أن قصّرت يوماً.,البِرُ,0
كما أعطوك حقك في ضعفك فلا تنس حقهما في ضعفهما.,البِرُ,0
برّ الأم والأب طريق لدخول الجنة فإذا أردت أن يبرك أبناؤك فبرّ والديك.,البِرُ,0
أظهر التودد لوالديك وحاول إدخال السرور إليهما بكل ما يحبانه منك.,البِرُ,0
إن الوالدين أحق الناس بالمعاملة الحسنة.,البِرُ,0
إن رضا الله في بر الوالدين.,البِرُ,0
تسقط الرجولة إذا ارتفع صوتك على من تعب في تربيتك.,البِرُ,0
برّ الوالدين ليس شعارات ترفع إنّما هو تطبيق عملي.,البِرُ,0
إذا جعلك والداك أميراً مدللاً في صغرك فاجعلهم ملوكاً في كبرك.,البِرُ,0
إن والديك أحسنا إليك في ضعفك وربياك حتّى بلغت أشدك أتقلب لهما ظهرك عند حاجتهما إليك فأحسن إلى من أحسن إليك.,البِرُ,0
الأب والأم أهم هدية ونعمة من الله يجب أن نحفظها ونرعاها ونحميها لنردها إلى الله رداً جميلاً.,البِرُ,0
أجمل شعور يمكن أن تشعر به هو إسعاد والديك، فحاول دوماً إدخال البهجة والسرور إلى قلبهما.,البِرُ,0
إذا أردت أن يحبك الله، فقم بواجبك نحو أهلك واهتم بهما وراعهما وأحسن إليهما.,البِرُ,0
ما تفعله مع والديك سوف يفعله معك أبناءك فيما بعد، فما الطريقة التي تحب أن يعاملك بها أولادك في الكبر؟,البِرُ,0
برّ الوالدين أن تبذل لهما ما ملكت، وتطيعهما فيما أمراك ما لم يكن معصية.,البِرُ,0
حق الوالد أعظم، وبر الوالدة ألزم.,البِرُ,0
من وقّر أباه طال عمره، ومن وقّر أمه رأى ما يسرّه، ومن أحدَّ النظر إلى والديه عقهما.,البِرُ,0
عانت الأم بحمله أثقالاً كثيرة، ولقيت وقت وضعه مزعجات مثيرة، وبالغت في تربيته، وسهرت في مداراته، وأعرضت عن جميع شهواتها، وقدمته على نفسها في كل حال، وقد ضم الأب إلى التسبب في إيجاده محبته بعد وجوده، وشفقته، وتربيته بالكسب له والإنفاق عليه، والعاقل يعرف حق المحسن، ويجتهد في مكافأته، وجهل الإنسان بحقوق المنعم من أخس صفاته، لا سيما إذا أضاف إلى جحد الحق المقابلة بسوء المنقلب، وليعلم البار بالوالدين أنّه مهما بالغ في برهما لم يف بشكرهما.,البِرُ,0
احذروا دعاء الوالدين فإن في دعائهما النماء والانجبار والاستئصال والبوار.,البِرُ,0
كن باراً بوالديك، ولا تنتظر حتى تضيع الفرصة، فالشعور بفقدان أحدهما سيجعلك تشعر بالندم.,البِرُ,0
إن في طاعة الوالدين سبب في إطالة العمر وسعة في الرزق .,البِرُ,0
العيش ماضٍ فأكرم والديك به والأمّ أولى بإكرام وإحسان وحسبها الحمل والإرضاع تدمنه أمران بالفضل نالا كلّ إنسان.,البِرُ,0
قلب الأم هوّة عميقة ستجد المغفرة دائما في قاعها.,البِرُ,0
لما ماتت أم إِياس بن معاوية بكى عليها، فقيل له في ذلك فقال: كان لي بابان مفتوحان إلى الجنة فأغلق أحدهما.,البِرُ,0
كل معصية تؤخر عقوبتها بمشيئة الله إلى يوم القيامة إلا العقوق، فإنه يعجل له في الدنيا، وكما تدين تدان.,البِرُ,0
عليك ببرّ الوالدين كليهما وبرّ ذوي القربى وبرّ الأباعدِ ما في الأسى من تفتت الكبدِ مثل أسى والدٍ على ولدِ.,البِرُ,0
إن الله تعالى قسّم هذه الحقوق وجعلها مراتب، وأعظم تلك الحقوق الحق العظيم بعد حقّ عبادة الله تعالى وإفراده بالتوحيد، وهو الحقّ الذي ثنّى به سبحانه وما ذكر نبيًّاً من الأنبياء إلاّ وذكر معه هذا الحقّ الذي من أقامه، يكفر الله به السيئات ويرفع الدرجات، ألا وهو الإحسان للوالدين.,البِرُ,0
أطِعِ الإِله كما أمر واملأ فؤادك بِالحذر وأطِعِ أباك فإِنّه ربّاك مِن عهدِ الصِّغر.,البِرُ,0
لا ينبغي للابن أن يتضجر منهما ولو بكلمة أف بل يجب الخضوع لأمرهما، وخفض الجناح لهما، ومعاملتهما باللطف والتوقير وعدم الترفع عليهما.,البِرُ,0
إن من عظم حق الوالدين أن قرن الله حقهما بحقه في كتابه الكريم.,البِرُ,0
من حق الوالدين بعد موتهما: الصلاة عليهما، والاستغفار لهما، وإنفاذ عهدهما، وصلة الرحم التي لا توصل إلا بهما، وإكرام صديقهما.,البِرُ,0
قال كريم معتوق في حق الأم:,البِرُ,0
قال ابن الجوزي في قصيدته زر والديك:,البِرُ,0
تعبير عن الإيثار,اﻹيثارُ,0
حديث شريف عن الإيثار,اﻹيثارُ,0
أساس التعامل الخلق الزكي والإيثار الذي يرجح الفضل على العدل والترفع عن الصغائر.,اﻹيثارُ,0
الإيثار من الصفات الحميدة، ومن جملة الأخلاق القويمة التي حثت عليها الشرائع.,اﻹيثارُ,0
يعتبر الإيثار طريقاً للوصول إلى محبة الله تعالى، وهو من أكثر الصفات التي تشيع جواً من الألفة والمحبة بين الناس.,اﻹيثارُ,0
الأب والأم أيضاً يفضلون أبناءهم على أنفسهم، وبهذه الصور تتجلى أفضل صور الإيثار.,اﻹيثارُ,0
الإيثار أعلى مراتب الكرم والجود الذي يأتي من أعماق النفس ولا يفرضه الواجب أو القوانين.,اﻹيثارُ,0
ما تتخلى عنه وتتركه هو لك، وما تخبئه وتتحفظ عليه يذهب لغيرك.,اﻹيثارُ,0
ليس الإيثار أن تعطيني ما أنا أشدّ منك حاجة إليه، وإنّما الإيثار أن تعطيني ما أنت أشدّ إليه حاجة مني.,اﻹيثارُ,0
خِصْلـَة ُالإيثارُ فِعْـلٌ مِـنْ صِفاتِ الأتقياءْ يُؤْثِرونَ الغـَيْرَ فضْلاً إنـَّهُمْ أهْلُ العطاء.,اﻹيثارُ,0
إنّما الإيثارُ حِصْـنٌ أوْجَـبَـتْ كـُـلَّ الثـَّناءْ قِـمَّة ُالأخلاق تـَكـْسو أهلها ثـَوبَ البَهاءْ.,اﻹيثارُ,0
لا تُوَاكِلَنَّ جائعاً إلَّا بالإيثَار، ولا تُوَاكِلَنَّ غنيّاً إلَّا بالأدب، ولا تُوَاكِلَنَّ ضيفاً إلَّا بالنَّهمة والانبساط.,اﻹيثارُ,0
الإيثَار هو أن يقدِّم حظوظ الإخوان على حظوظه في أمر الدُّنْيا والآخرة.,اﻹيثارُ,0
إنّ الإيثار يحقق الاكتفاء المادي والاقتصادي لأكبر عدد من الأشخاص في المجتمع.,اﻹيثارُ,0
إنّ المؤثر يلاحظ ثمرة هذا الخلق الرفيع أمام عينيه، لأنّه يعيش لذة العطاء في كل لحظة.,اﻹيثارُ,0
لو أنَّ الدُّنْيا كلَّها لي فجعلتها في فم أخ مِن إخواني لاستقللتها له.,اﻹيثارُ,0
لنحاول تعليم الكرم والإيثار لأننا ولدنا أنانيين.,اﻹيثارُ,0
الأنانية كريح الصحراء: إنّها تجفف كل شيء.,اﻹيثارُ,0
لا تعتب على من يكثر التحدث عن نفسه، إنّه غالباً ما لا يجيد التحدث في موضوع آخر.,اﻹيثارُ,0
الأنا مكروهة، والإيثار فضيلة.,اﻹيثارُ,0
حب الذات هو كرة منفوخة بالهواء، تخرج منها العواصف إذا ما ثقبناها.,اﻹيثارُ,0
الأناني هو من لا يستخدم كل دقائق حياته في تأمين سعادة الأنانيين.,اﻹيثارُ,0
حب الذات حيوان غريب، يستطيع النوم تحت أقسى الضربات، ثمّ إنّه يستيقظ وقد جرح حتى الموت بخدش بسيط.,اﻹيثارُ,0
الأنانية سراب الضعفاء.,اﻹيثارُ,0
لا أحد أقل استعداداً من الأناني للتساهل بالأنانية التي تثير له في كل مكان منافسي.,اﻹيثارُ,0
حب الذات لدى المجانين يعذر حب الذات لدى ذوي العقول.,اﻹيثارُ,0
أقوال الحكماء عن الصمت,اﻹنصاتُ,0
حكم رائعة عن الصمت,اﻹنصاتُ,0
الصمت أفضل من كلمات بلا معنى.,اﻹنصاتُ,0
من كثر كلامه قلّ احترامه.,اﻹنصاتُ,0
يحتاج الإنسان إلى سنتين ليتعلم الكلام وخمسين سنة ليتعلم الصمت.,اﻹنصاتُ,0
لا تتكلم في موقف يحتاج إلى الصمت.,اﻹنصاتُ,0
الصمت أكثر فصاحة من الكلمات.,اﻹنصاتُ,0
من الإصغاء تأتي الحكمة، ومن الكلام تأتي الندامة.,اﻹنصاتُ,0
أول العلم الصمت والثاني حسن الاستماع والثالث حفظه والرابع العمل به والخامس نشره.,اﻹنصاتُ,0
الفم المطبق لا يدخله الذباب.,اﻹنصاتُ,0
إذا كان الكلام من فضة، فالسكوت من ذهب .,اﻹنصاتُ,0
الندم على السكوت خير من الندم على القول.,اﻹنصاتُ,0
سلامة الإنسان في حفظ اللسان.,اﻹنصاتُ,0
تعظنا النملة دون أن تنبس بكلمة.,اﻹنصاتُ,0
إذا أراد أحدكم الكلام فعليه أن يفكر في كلامه قبل النطق به.,اﻹنصاتُ,0
إذا تم العقل نقص الكلام.,اﻹنصاتُ,0
بكثرة الصمت تكون الهيبة.,اﻹنصاتُ,0
الكلام كالدواء إن أقللت منه نفع، وإن أكثرت منه قتل.,اﻹنصاتُ,0
إذا افتخر الناس بحسن كلامهم، فافتخر أنت بحسن صمتك.,اﻹنصاتُ,0
الزمِ الصمتَ إِن أردتَ نجاةً … ليس ضحضاحُ منطقٍ مثل غمرِ.,اﻹنصاتُ,0
يخوضُ أناسٌ في الكلامِ ليوجزوا … وللصَّمْتُ في بعض الأحايين أوجزُ,اﻹنصاتُ,0
قد يحسبُ الصمتُ الطويلُ من الفتى … حلماً يوقَّرُ وهو فيه تخلفُ.,اﻹنصاتُ,0
ألم ترأن الصمت حلمٌ وحكمةٌ … قليلٌ على ريبِ الحوادثِ فاعلُه.,اﻹنصاتُ,0
وللصمتُ خيرٌ من كلامٍ بمأثمٍ … فكنْ صامتاً تسلمْ وإِن قلتَ فاعدلِ.,اﻹنصاتُ,0
أطرقْ كأنكَ في الدنيا بلا نظرٍ … واصمُتْ كأنكَ مخلوقٌ بغيرِ فمِ,اﻹنصاتُ,0
عجبتُ لإِدلالِ العييِّ بنفسِه … وصمتِ الذي قد كان بالقَوْلِ أعلما,اﻹنصاتُ,0
استُرِ العي ما استطعْتَ بصمتٍ … إِن في الصمتِ راحةً للصَّموتِ,اﻹنصاتُ,0
أنتَ من الصمتِ آمنُ الزللِ … ومن كثيرِ الكلامِ في وجلِ,اﻹنصاتُ,0
قالوا سكتَّ وقد خوصمتَ قلت لهم … إِن الجوابَ لبابِ الشرِّ مفتاحُ,اﻹنصاتُ,0
وجدْتُ سكوتي متجراً فلزمتهُ … إِذا لم أجدْ ربحاً فلسْتُ بخاسرِ,اﻹنصاتُ,0
إِذا سكتَ الإِنسانُ قَلَّتْ خصومُهُ … وإِن أضجعتهُ الحادثاتُ لجنبِه.,اﻹنصاتُ,0
إِن كان ينطقُ ناطقاً من فضةٍ … فالصمت درٌ زانَه الياقوتُ.,اﻹنصاتُ,0
إِن القليلَ من الكلامِ بأهلهِ … حَسَنٌ وإِن كثيرَهُ ممقوتُ.,اﻹنصاتُ,0
المصبية ليست في ظلم الأشرار بل في صمت الأخيار.,اﻹنصاتُ,0
ما ندمت على سكوتي مرة، لكنني ندمت على الكلام مراراً.,اﻹنصاتُ,0
إذا صمت صديقك ولم يتكلم فلا ينقطع قلبك عن الإصغاء إلى صوت قلبه، لأنّ الصداقة لا تحتاج إلى الألفاظ والعبارات.,اﻹنصاتُ,0
قد يرى البعض أن التسامح انكسار، وأن الصمت هزيمة، لكنهم لا يعرفون أنّ التسامح يحتاج قوة أكبر من الانتقام، وأن الصمت أقوى من أي كلام.,اﻹنصاتُ,0
كثرة الكلام واللغو تدل على ضعف العقل.,اﻹنصاتُ,0
السكوت علامة الرضا.,اﻹنصاتُ,0
العاقل من عقّل لسانه.,اﻹنصاتُ,0
بكثرة الصمت تكون الهيبة.,اﻹنصاتُ,0
إذا افتخر الناس بحسن كلامهم، فافتحر أنت بحسن صمتك.,اﻹنصاتُ,0
الصمت هو الصديق الوحيد الذي لن يخونك.,اﻹنصاتُ,0
حكمة عن الأمانة,اﻷمانةُ,0
كلمات عن الأمانة,اﻷمانةُ,0
من ضيع الأمانة ورضي بالخيانة فقد تبرأ من الديانة.,اﻷمانةُ,0
ثلاثة يؤدّين إلى البرّ والفاجر: الأمانة.. والعهد.. وصلة الرّحم.,اﻷمانةُ,0
إنّ من أجدر الأعمال أن لا تؤخّر عقوبته أو يعجّل عقوبته: الأمانة تخان، والرّحم تقطع والإحسان يكف.,اﻷمانةُ,0
لم يرخّص الله لمعسر ولا لموسر أن يمسك الأمانة.,اﻷمانةُ,0
من لم يكن له رأس مال فليتخذ الأمانة رأس ماله.,اﻷمانةُ,0
أداء الأمانة مفتاح الرزق.,اﻷمانةُ,0
الحياة أمانة يُعهد لك بها، ولا يحق لك يوم تسترد منك أن تحتج؛ لأنها في الحقيقة ليست ملكك.,اﻷمانةُ,0
